Date,City,Province,RTLBCI
2020-10-12,Hamilton, Ontario ,124.75
2020-10-12,Kitchener, Ontario ,122.71
2020-10-12,St. Catharines - Niagara Falls, Ontario ,131.48
2020-10-12,Barrie, Ontario ,99.34
2020-10-12,London, Ontario ,113.37
2020-10-12,Milton, Ontario ,146.25
2020-10-12,Toronto, Ontario ,148.77
2020-10-12,Kingston, Ontario ,131.49
2020-10-12,Kanata, Ontario ,132.41
2020-10-12,Guelph, Ontario ,134.56
2020-10-12,Oshawa, Ontario ,137.33
2020-10-12,Windsor, Ontario ,141.32
2020-10-12,Winnipeg, Manitoba ,146.6
2020-10-12,Saskatoon, Saskatchewan ,110.23
2020-10-12,Regina, Saskatchewan ,183.57
2020-10-12,Calgary, Alberta ,140.18
2020-10-12,Edmonton, Alberta ,135.61
2020-10-12,Abbotsford, British Columbia ,162.86
2020-10-12,Kelowna, British Columbia ,141.38
2020-10-12,White Rock, British Columbia ,155.38
2020-10-12,Vancouver, British Columbia ,126.71
2020-10-12,Victoria, British Columbia ,139.7
2020-10-19,St. John's, Newfoundland ,221.57
2020-10-19,Halifax, Nova Scotia ,132.26
2020-10-19,Moncton, New Brunswick ,157.59
2020-10-19,Quebec, Quebec ,117.22
2020-10-19,Trois-Rivieres, Quebec ,124.45
2020-10-19,Sherbrooke, Quebec ,143.67
2020-10-19,Montreal, Quebec ,115.92
2020-10-19,Ottawa, Ontario ,117.42
2020-10-19,Hamilton, Ontario ,126.98
2020-10-19,Kitchener, Ontario ,112.67
2020-10-19,St. Catharines - Niagara Falls, Ontario ,138.59
2020-10-19,Barrie, Ontario ,92.77
2020-10-19,London, Ontario ,130.64
2020-10-19,Milton, Ontario ,150.18
2020-10-19,Toronto, Ontario ,119.13
2020-10-19,Kingston, Ontario ,122.32
2020-10-19,Kanata, Ontario ,124.51
2020-10-19,Guelph, Ontario ,134.07
2020-10-19,Oshawa, Ontario ,138.18
2020-10-19,Windsor, Ontario ,140.02
2020-10-19,Winnipeg, Manitoba ,139.27
2020-10-19,Saskatoon, Saskatchewan ,119.27
2020-10-19,Regina, Saskatchewan ,175.01
2020-10-19,Calgary, Alberta ,135.04
2020-10-19,Edmonton, Alberta ,137.26
2020-10-19,Abbotsford, British Columbia ,165.92
2020-10-19,Kelowna, British Columbia ,139.74
2020-10-19,White Rock, British Columbia ,146.35
2020-10-19,Vancouver, British Columbia ,135.08
2020-10-19,Victoria, British Columbia ,145.12
2020-10-26,St. John's, Newfoundland ,219.9
2020-10-26,Halifax, Nova Scotia ,140.5
2020-10-26,Moncton, New Brunswick ,190.76
2020-10-26,Quebec, Quebec ,126.7
2020-10-26,Trois-Rivieres, Quebec ,132.32
2020-10-26,Sherbrooke, Quebec ,165.43
2020-10-26,Montreal, Quebec ,124.55
2020-10-26,Ottawa, Ontario ,113.89
2020-10-26,Hamilton, Ontario ,123.46
2020-10-26,Kitchener, Ontario ,139.51
2020-10-26,St. Catharines - Niagara Falls, Ontario ,148.2
2020-10-26,Barrie, Ontario ,88.05
2020-10-26,London, Ontario ,132.8
2020-10-26,Milton, Ontario ,142.95
2020-10-26,Toronto, Ontario ,116.39
2020-10-26,Kingston, Ontario ,144.75
2020-10-26,Kanata, Ontario ,133
2020-10-26,Guelph, Ontario ,130.78
2020-10-26,Oshawa, Ontario ,141.58
2020-10-26,Windsor, Ontario ,137.8
2020-10-26,Winnipeg, Manitoba ,133.86
2020-10-26,Saskatoon, Saskatchewan ,120.51
2020-10-26,Regina, Saskatchewan ,171.15
2020-10-26,Calgary, Alberta ,128.36
2020-10-26,Edmonton, Alberta ,133.28
2020-10-26,Abbotsford, British Columbia ,173.38
2020-10-26,Kelowna, British Columbia ,139.06
