GEO_NAME,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,Total Population,Total Population of Men,Total Population of Women
Grand Falls-Windsor,297,"  $100,000 and over",1280,,
Grand Falls-Windsor,298,"    $100,000 to $124,999",575,,
Grand Falls-Windsor,299,"    $125,000 to $149,999",340,,
Grand Falls-Windsor,300,"    $150,000 and over",365,,
Grand Falls-Windsor,336,  0 to 17 years,2365,1195,1165
Grand Falls-Windsor,338,  18 to 64 years,7990,3850,4140
Grand Falls-Windsor,339,  65 years and over,3250,1495,1750
Grand Falls-Windsor,341,  0 to 17 years,430,215,210
Grand Falls-Windsor,343,  18 to 64 years,1145,520,625
Grand Falls-Windsor,344,  65 years and over,680,250,430
Grand Falls-Windsor,351,  0 to 17 years,2360,1195,1170
Grand Falls-Windsor,353,  18 to 64 years,7995,3850,4140
Grand Falls-Windsor,354,  65 years and over,3245,1500,1750
Grand Falls-Windsor,356,  0 to 17 years,85,35,50
Grand Falls-Windsor,358,  18 to 64 years,440,220,220
Grand Falls-Windsor,359,  65 years and over,40,10,30
Grand Falls-Windsor,1457,  15 to 24 years,130,,
Grand Falls-Windsor,1458,  25 to 34 years,670,,
Grand Falls-Windsor,1459,  35 to 44 years,895,,
Grand Falls-Windsor,1460,  45 to 54 years,1045,,
Grand Falls-Windsor,1461,  55 to 64 years,1320,,
Grand Falls-Windsor,1462,  65 to 74 years,1240,,
Grand Falls-Windsor,1463,  75 to 84 years,655,,
Grand Falls-Windsor,1464,  85 years and over,165,,
Grand Falls-Windsor,1540,  5 to 14 years,45,20,25
Grand Falls-Windsor,1541,  15 to 24 years,50,30,15
Grand Falls-Windsor,1542,  25 to 44 years,110,55,55
Gander,9,  0 to 14 years,2025,1050,970
Gander,12,    10 to 14 years,780,410,370
Gander,13,  15 to 64 years,8525,4195,4330
Gander,14,    15 to 19 years,800,450,345
Gander,15,    20 to 24 years,670,335,335
Gander,16,    25 to 29 years,645,325,325
Gander,17,    30 to 34 years,780,385,395
Gander,18,    35 to 39 years,835,390,445
Gander,19,    40 to 44 years,800,375,425
Gander,20,    45 to 49 years,980,455,525
Gander,21,    50 to 54 years,1070,510,560
Gander,22,    55 to 59 years,980,490,495
Gander,23,    60 to 64 years,960,475,490
Gander,24,  65 years and over,2865,1275,1590
Gander,25,    65 to 69 years,805,385,415
Gander,26,    70 to 74 years,775,365,410
Gander,27,    75 to 79 years,505,215,285
Gander,28,    80 to 84 years,405,150,255
Gander,29,    85 years and over,380,155,225
Gander,30,      85 to 89 years,245,110,130
Gander,31,      90 to 94 years,110,35,75
Gander,32,      95 to 99 years,25,5,20
Gander,35,  0 to 14 years,15.1,16.1,14.1
Gander,36,  15 to 64 years,63.5,64.3,62.8
Gander,37,  65 years and over,21.4,19.6,23.1
Gander,38,    85 years and over,2.8,2.4,3.3
Gander,159,"    $10,000 to $19,999",1360,515,850
Gander,160,"    $20,000 to $29,999",1655,665,990
Gander,161,"    $30,000 to $39,999",1495,625,865
Gander,162,"    $40,000 to $49,999",1275,585,690
Gander,163,"    $50,000 to $59,999",930,480,455
Gander,164,"    $60,000 to $69,999",715,430,285
Gander,165,"    $70,000 to $79,999",560,360,205
Gander,166,"    $80,000 to $89,999",420,255,170
Gander,167,"    $90,000 to $99,999",395,205,190
Gander,168,"    $100,000 and over",1060,730,330
Gander,169,"      $100,000 to $149,999",675,440,240
Gander,170,"      $150,000 and over",385,295,90
Gander,175,"    $10,000 to $19,999",1425,545,885
Gander,176,"    $20,000 to $29,999",2020,810,1205
Gander,177,"    $30,000 to $39,999",1740,795,945
Gander,178,"    $40,000 to $49,999",1425,705,715
Gander,179,"    $50,000 to $59,999",980,585,390
Gander,180,"    $60,000 to $69,999",675,410,260
Gander,181,"    $70,000 to $79,999",550,300,250
Gander,182,"    $80,000 to $89,999",330,185,145
Gander,183,"    $90,000 to $99,999",175,130,50
Gander,184,"    $100,000 and over",495,375,120
Gander,185,"      $100,000 to $124,999",220,160,55
Gander,186,"      $125,000 and over",280,215,60
Gander,191,"    $5,000 to $9,999",615,270,340
Gander,192,"    $10,000 to $19,999",880,395,485
